CODE,DESCRIPTION,IP_SRVC_CTG_SHORT,OP_SRVC_CTG_SHORT,PH_SRVC_CTG_SHORT
90281,Administered Drugs & Immunizations,,DRUG,DRUG
90283,Administered Drugs & Immunizations,,DRUG,DRUG
90284,Administered Drugs & Immunizations,,DRUG,DRUG
90287,Administered Drugs & Immunizations,,DRUG,DRUG
90291,Administered Drugs & Immunizations,,DRUG,DRUG
90296,Administered Drugs & Immunizations,,DRUG,DRUG
90371,Administered Drugs & Immunizations,,DRUG,DRUG
90375,Administered Drugs & Immunizations,,DRUG,DRUG
90376,Administered Drugs & Immunizations,,DRUG,DRUG
90378,Administered Drugs & Immunizations,,DRUG,DRUG
90379,Administered Drugs & Immunizations,,DRUG,DRUG
90384,Administered Drugs & Immunizations,,DRUG,DRUG
90385,Administered Drugs & Immunizations,,DRUG,DRUG
90386,Administered Drugs & Immunizations,,DRUG,DRUG
90389,Administered Drugs & Immunizations,,DRUG,DRUG
90393,Administered Drugs & Immunizations,,DRUG,DRUG
90396,Administered Drugs & Immunizations,,DRUG,DRUG
90399,Administered Drugs & Immunizations,,DRUG,DRUG
90460,Administered Drugs & Immunizations,,DRUG,DRUG
90461,Administered Drugs & Immunizations,,DRUG,DRUG
90465,Administered Drugs & Immunizations,,DRUG,DRUG
90466,Administered Drugs & Immunizations,,DRUG,DRUG
90467,Administered Drugs & Immunizations,,DRUG,DRUG
90470,Administered Drugs & Immunizations,,DRUG,DRUG
90471,Administered Drugs & Immunizations,,DRUG,DRUG
90472,Administered Drugs & Immunizations,,DRUG,DRUG
90473,Administered Drugs & Immunizations,,DRUG,DRUG
90474,Administered Drugs & Immunizations,,DRUG,DRUG
90476,Administered Drugs & Immunizations,,DRUG,DRUG
90477,Administered Drugs & Immunizations,,DRUG,DRUG
90581,Administered Drugs & Immunizations,,DRUG,DRUG
90585,Administered Drugs & Immunizations,,DRUG,DRUG
90586,Administered Drugs & Immunizations,,DRUG,DRUG
90587,Administered Drugs & Immunizations,,DRUG,DRUG
90620,Administered Drugs & Immunizations,,DRUG,DRUG
90621,Administered Drugs & Immunizations,,DRUG,DRUG
